Ea (kJ/mol),T1 (°C),T2 (°C),D2/D1,Percent Increase
40.0,26.0,30.0,1.2364060156076508,23.640601560765084
40.0,26.0,31.0,1.3026346365860277,30.263463658602774
40.0,26.0,32.0,1.3719415432365079,37.194154323650785
40.0,26.0,33.0,1.444446698829135,44.44466988291349
40.0,26.0,34.0,1.520273758655903,52.0273758655903
40.0,26.0,35.0,1.5995501486378803,59.95501486378802
40.0,26.0,36.0,1.682407144601469,68.2407144601469
40.0,27.0,30.0,1.1718999734784068,17.18999734784068
40.0,27.0,31.0,1.23467330051526,23.46733005152599
40.0,27.0,32.0,1.3003643122381774,30.03643122381774
40.0,27.0,33.0,1.369086713167526,36.908671316752596
40.0,27.0,34.0,1.440957707224654,44.0957707224654
40.0,27.0,35.0,1.5160980722379092,51.60980722379092
40.0,27.0,36.0,1.5946322350828777,59.46322350828777
40.0,27.0,37.0,1.6766883474403143,67.66883474403143
40.0,28.0,31.0,1.1706741709246136,17.067417092461355
40.0,28.0,32.0,1.2329600976177981,23.296009761779814
40.0,28.0,33.0,1.2981202818530444,29.81202818530444
40.0,28.0,34.0,1.366265852301716,36.62658523017159
40.0,28.0,35.0,1.437511326289171,43.7511326289171
40.0,28.0,36.0,1.5119746810401196,51.19746810401195
40.0,28.0,37.0,1.5897774255096484,58.97774255096484
40.0,28.0,38.0,1.671044672784067,67.10446727840672
40.0,29.0,32.0,1.1694617227712376,16.94617227712376
40.0,29.0,33.0,1.2312661083787468,23.126610837874683
40.0,29.0,34.0,1.2959021305583032,29.59021305583032
40.0,29.0,35.0,1.3634784089066478,36.347840890664784
40.0,29.0,36.0,1.4341068447324474,43.41068447324474
40.0,29.0,37.0,1.5079026891879672,50.79026891879672
40.0,29.0,38.0,1.5849846119412196,58.498461194121965
40.0,29.0,39.0,1.6654747703731139,66.54747703731138
40.0,30.0,33.0,1.1682624320775723,16.82624320775723
40.0,30.0,34.0,1.2295910400506591,22.95910400506591
40.0,30.0,35.0,1.2937094517869656,29.370945178696562
40.0,30.0,36.0,1.3607238426243211,36.07238426243211
40.0,30.0,37.0,1.4307435663332306,43.07435663332306
40.0,30.0,38.0,1.5038812202750782,50.38812202750782
40.0,30.0,39.0,1.580252711058473,58.025271105847295
40.0,30.0,40.0,1.6599773206787858,65.99773206787857
40.0,31.0,34.0,1.167076105576517,16.70761055765171
40.0,31.0,35.0,1.2279346055391365,22.793460553913647
40.0,31.0,36.0,1.291541847075982,29.15418470759821
40.0,31.0,37.0,1.3580016241872166,35.80016241872166
40.0,31.0,38.0,1.427420809553058,42.74208095530581
40.0,31.0,39.0,1.4999094168520222,49.990941685202216
40.0,31.0,40.0,1.5755806635377896,57.558066353778955
40.0,32.0,35.0,1.1659025535916256,16.590255359162565
40.0,32.0,36.0,1.2262965232706275,22.629652327062754
40.0,32.0,37.0,1.289398925870559,28.939892587055894
